id,Team,Inning,Outs,Bases,RunDifferential,TotalGames,TotalWins
0,H,1,0,1,0,25048,14759
1,H,1,0,1,1,394,270
2,H,1,0,1,2,125,94
3,H,1,0,1,3,92,79
4,H,1,0,1,4,50,48
5,H,1,0,1,5,7,7
6,H,1,0,1,6,7,7
7,H,1,0,1,-1,5340,2604
8,H,1,0,1,-2,2494,951
9,H,1,0,1,-3,1101,361
10,H,1,0,1,-4,513,108
11,H,1,0,1,-5,170,27
12,H,1,0,1,-6,104,11
13,H,1,0,2,0,7323,4626
14,H,1,0,2,1,346,262
15,H,1,0,2,2,100,79
16,H,1,0,2,3,52,47
17,H,1,0,2,4,17,16
18,H,1,0,2,5,6,6
19,H,1,0,2,6,3,3
20,H,1,0,2,-1,1626,897
21,H,1,0,2,-2,737,330
22,H,1,0,2,-3,359,132
23,H,1,0,2,-4,160,41
24,H,1,0,2,-5,49,7
25,H,1,0,2,-6,26,2
26,H,1,0,3,0,2746,1825
27,H,1,0,3,1,292,224
28,H,1,0,3,2,112,90
29,H,1,0,3,3,32,29
30,H,1,0,3,4,15,15
31,H,1,0,3,5,4,4
32,H,1,0,3,6,1,1
33,H,1,0,3,-1,586,334
34,H,1,0,3,-2,250,119
35,H,1,0,3,-3,103,44
36,H,1,0,3,-4,57,16
37,H,1,0,3,-5,25,4
38,H,1,0,3,-6,13,5
39,H,1,0,4,0,1427,1005
40,H,1,0,4,1,261,199
41,H,1,0,4,2,90,70
42,H,1,0,4,3,38,33
43,H,1,0,4,4,13,13
44,H,1,0,4,5,7,7
45,H,1,0,4,6,1,1
46,H,1,0,4,-1,287,175
47,H,1,0,4,-2,155,89
48,H,1,0,4,-3,83,36
49,H,1,0,4,-4,37,10
50,H,1,0,4,-5,14,2
51,H,1,0,4,-6,11,1
52,H,1,0,5,0,589,394
53,H,1,0,5,1,124,95
54,H,1,0,5,2,54,49
55,H,1,0,5,3,10,8
56,H,1,0,5,4,1,1
57,H,1,0,5,5,1,1
58,H,1,0,5,6,2,2
59,H,1,0,5,-1,129,77
60,H,1,0,5,-2,46,22
61,H,1,0,5,-3,20,7
62,H,1,0,5,-4,7,2
63,H,1,0,5,-6,3,0
64,H,1,0,6,0,813,563
65,H,1,0,6,1,223,170
66,H,1,0,6,2,63,54
67,H,1,0,6,3,22,19
68,H,1,0,6,4,6,6
69,H,1,0,6,5,3,3
70,H,1,0,6,6,1,1
71,H,1,0,6,-1,190,111
72,H,1,0,6,-2,76,42
73,H,1,0,6,-3,29,10
74,H,1,0,6,-4,16,3
75,H,1,0,6,-5,4,0
76,H,1,0,6,-6,2,0
77,H,1,0,7,0,365,265
78,H,1,0,7,1,140,115
79,H,1,0,7,2,32,26
80,H,1,0,7,3,9,9
81,H,1,0,7,4,4,3
82,H,1,0,7,5,1,1
83,H,1,0,7,6,2,2
84,H,1,0,7,-1,84,58
85,H,1,0,7,-2,42,20
86,H,1,0,7,-3,23,11
87,H,1,0,7,-4,12,6
88,H,1,0,7,-5,1,0
89,H,1,0,7,-6,1,0
90,H,1,0,8,0,308,219
91,H,1,0,8,1,86,63
92,H,1,0,8,2,28,24
93,H,1,0,8,3,8,7
94,H,1,0,8,4,4,4
95,H,1,0,8,5,1,1
96,H,1,0,8,6,2,2
97,H,1,0,8,-1,64,51
98,H,1,0,8,-2,36,21
99,H,1,0,8,-3,15,6
100,H,1,0,8,-4,8,4
101,H,1,0,8,-6,4,0
102,H,1,1,1,0,16840,9475
103,H,1,1,1,1,750,499
104,H,1,1,1,2,449,338
105,H,1,1,1,3,240,202
106,H,1,1,1,4,106,101
107,H,1,1,1,5,33,31
108,H,1,1,1,6,20,19
109,H,1,1,1,-1,3608,1627
